first_name,last_name,formatted_dob,above_18,member_id
Tony,Morris,19700805,Yes,Morris1057d2
Randy,Carlson,19550530,Yes,Carlsond8db20
Mitchell,Pierce,20010824,Yes,Pierce7e42c1
Angela,West,19810427,Yes,West0afbac
Sherry,Lyons,19980902,Yes,Lyons5c73e9
Jennifer,Butler,19511118,Yes,Butlerc810e3
Kevin,Peters,19670602,Yes,Peters4b936e
Benjamin,Conway,19551228,Yes,Conwayb14b91
Noah,Mccarty,19650620,Yes,Mccarty6f29c5
Andrew,Stewart,19511202,Yes,Stewartc37651
Brenda,Jones,19550804,Yes,Jonese27fe8
Jerry,Shannon,19510505,Yes,Shannon6484db
Blake,Brown,19570615,Yes,Brown755720
Michael,Bowers,20020903,Yes,Bowers29d221
Elizabeth,Bailey,19630101,Yes,Bailey5c8a50
James,Cruz,19500730,Yes,Cruza17c60
Kelly,Levy,19940805,Yes,Levy1b7392
Thomas,Burton,19750419,Yes,Burtone624b3
Kimberly,Garcia,19630801,Yes,Garciaea09c3
Paul,Peterson,20021225,Yes,Petersonc41f42
Michael,Reilly,19720514,Yes,Reilly1c829c
Alejandra,Martinez,19791221,Yes,Martinezd6f6b2
Timothy,Sanders,19521003,Yes,Sanderse813fc
Latoya,Little,19780708,Yes,Little9b0c82
Sarah,Harvey,19600331,Yes,Harvey119d2d
Aaron,Hansen,19980128,Yes,Hansendf29c3
Melissa,Ortiz,19580729,Yes,Ortiz84be03
Brooke,Hernandez,19911114,Yes,Hernandezbcb5b4
Lisa,Livingston,19500423,Yes,Livingston192958
Eugene,Mason,19781213,Yes,Mason6bc9ba
Daniel,Cunningham,19730326,Yes,Cunningham12799d
Alex,Smith,20020503,Yes,Smith894dd6
Charles,Jennings,19750714,Yes,Jennings18c5d8
Jessica,Vargas,19810517,Yes,Vargased53f1
Olivia,Clark,19741001,Yes,Clark92a9e6
Ricky,Allen,19610619,Yes,Allen3a5186
Cathy,Carney,19970522,Yes,Carney0d73a5
Ashley,Spencer,19910126,Yes,Spencerc60e69
Victoria,Strickland,19530730,Yes,Stricklandc68d2c
Patrick,Smith,19720129,Yes,Smith5b12ee
Samuel,West,20020627,Yes,West15f40d
Haley,Baldwin,19650413,Yes,Baldwinb34397
Alexander,Wilson,19881111,Yes,Wilson51998e
April,Cole,19610622,Yes,Cole2b0a2b
Holly,Riley,19740728,Yes,Riley3e1f80
Jeffrey,Poole,19570204,Yes,Poole23f281
Rachel,Poole,19760807,Yes,Poole46b07d
Sheena,Ward,19730926,Yes,Ward57d0cf
Cynthia,Smith,19510509,Yes,Smith8477eb
Kevin,Clayton,19750807,Yes,Clayton6ad7dd
Deanna,Smith,19510416,Yes,Smith774d50
Sarah,Coleman,19500119,Yes,Colemandb2598
Kurt,Butler,19640621,Yes,Butler198208
Cody,Becker,19601216,Yes,Beckerdd3177
Miss Molly,Miller,19770511,Yes,Millerd8bf5f
Craig,Bailey,19970713,Yes,Baileyfac5da
Patricia,Gray,19660319,Yes,Gray00c0a7
Robert Rivera,DVM,19500722,Yes,DVM6a7ce7
Miss Michelle,Lewis,19830121,Yes,Lewisafe1c4
John,Owens,19670424,Yes,Owens4cd378
Sarah,Smith,19680804,Yes,Smith313dd8
Nancy,Lucas,19830607,Yes,Lucasb2c401
Christina,Murray,19791217,Yes,Murraya46c72
Emma,Berry,19940107,Yes,Berryc02ad7
Christopher,Gross,20031114,Yes,Gross2742d7
Jason,Hawkins,19541001,Yes,Hawkins8aa4f2
Jeffrey,Rodriguez,19690718,Yes,Rodriguez84bf31
Christina,Miller,19530425,Yes,Miller84bb3b
Maria,Miller,19941221,Yes,Miller208dd6
Eileen,Davis,19520404,Yes,Davis3a81fe
John,Kelley,19960928,Yes,Kelley336bac
Harry,Miller,19890613,Yes,Miller4e2a7e
Ellen,Montes,19610714,Yes,Montes29eaae
Gregory,Mclean,19610801,Yes,Mclean3b78d3
Angela,Spencer,19980502,Yes,Spencer071ed5
Christina,Price,19860805,Yes,Price352385
Michael,Morris,19790924,Yes,Morris05ed3b
Amber,Randall,19520910,Yes,Randallfe7f8d
Matthew,Morris,19981111,Yes,Morrisf96575
Cindy,Blackburn,20001008,Yes,Blackburn0c5fb5
Matthew,Jacobson,19510412,Yes,Jacobson496c26
Stacy,Jones,19940909,Yes,Jonesc6f5dd
Scott,Zimmerman,19560130,Yes,Zimmerman881d6b
Dakota,Silva,19791007,Yes,Silva80f7f9
Jacob,Spencer,19620226,Yes,Spencerd5b01e
Barbara,Hudson,19971028,Yes,Hudson9d6709
Sherry,Peterson,19691126,Yes,Petersonc30b89
Austin,Bird,19760515,Yes,Bird868530
Matthew,Oliver,19720423,Yes,Oliver94edc0
Roger,Maddox,19810426,Yes,Maddox6974f9
Kristin,Higgins,19981219,Yes,Higginsbc84fd
Gilbert,Johnson,19850923,Yes,Johnsone0381c
Bryan,Gutierrez,19881118,Yes,Gutierrezc61e82
Peter,Schultz,19570829,Yes,Schultz5fff49
Karen,Smith,19630505,Yes,Smith473c49
Justin,Burke,19961202,Yes,Burkeea689e
Sarah,Ramsey,19640622,Yes,Ramsey4c3e8c
Michael,Chang,19900209,Yes,Change27c88
Pamela,Hughes,19570116,Yes,Hughesbf91b3
Jimmy,Morris,19640120,Yes,Morris25892d
Lauren,Romero,20020425,Yes,Romeroe57501
Adam,Jones,19570107,Yes,Jones2b07e3
Michelle,Kidd,19500222,Yes,Kiddad9627
Matthew,Murphy,19600216,Yes,Murphy5dc4ee
Jessica,Arroyo,20021019,Yes,Arroyoa6982e
Caleb,Zuniga,19681028,Yes,Zunigaa2d94d
Kenneth,Walton,19950309,Yes,Waltondc1473
Cheyenne,Moreno,19600912,Yes,Moreno8048c1
Courtney,Lopez,19710810,Yes,Lopez93fe37
Kenneth,Williamson,19541003,Yes,Williamsonb834cd
William,Armstrong,19641118,Yes,Armstronge8b45f
Bruce,Browning,19631113,Yes,Browning1f631d
Shannon,Gilbert,19920613,Yes,Gilbertcba398
Amanda,Brown,19541218,Yes,Browncde998
Pedro,Mitchell,19610927,Yes,Mitchell31c89c
Riley,Gomez,19810211,Yes,Gomez010a6a
Shelby,Price,19860807,Yes,Pricee8f961
Scott,Harris,19901214,Yes,Harrisfc2221
Bonnie,Franklin,19880714,Yes,Franklinf8d94a
Ashley,Morris,20021001,Yes,Morris73a97c
Christopher,Stark,19710307,Yes,Stark919457
Vanessa,Johnson,19601019,Yes,Johnson8fef3a
Jack,Jensen,19601229,Yes,Jensen676e24
Daniel,Armstrong,19820714,Yes,Armstrongf79a4f
Susan,Donovan,19690130,Yes,Donovan6c6194
Michael,Serrano,19820711,Yes,Serrano1ec7eb
Michael,Powell,19941127,Yes,Powell4f74de
Alexander,Lowe,19610508,Yes,Lowe73be1b
Jennifer,Vega,19710307,Yes,Vega919457
Aaron,Wilson,19870517,Yes,Wilson6845cf
Samuel,Lee,19740902,Yes,Leed3d5c7
Jennifer,Weaver,19781015,Yes,Weaverfeb810
Timothy,Ortega,19980104,Yes,Ortega17e397
Leonard,Hamilton,19880229,Yes,Hamiltonf22761
Kathy,Phillips,19841216,Yes,Phillips608c96
Danny,Simmons,19631013,Yes,Simmonscd946d
Jennifer,Jimenez,19921121,Yes,Jimenez5ed59d
Penny,Lopez,19540925,Yes,Lopez7b6211
Victoria,Lawson,19541204,Yes,Lawsonc755df
Michael,Martinez,19521107,Yes,Martinezbc0fc2
Samantha,Sullivan,19600423,Yes,Sullivan614951
Paul,Jones,19940215,Yes,Jonesf903f1
Danielle,Tran,19880826,Yes,Tran40aaaf
Jeff,Freeman,20030520,Yes,Freeman35a3d8
Marissa,Jones,19580806,Yes,Jonescdd9ff
Elijah,Roy,19870705,Yes,Roy57ef7b
Courtney,Simpson,19731103,Yes,Simpson7383f7
Kimberly,Hopkins,19931022,Yes,Hopkins56d128
William,King,19841115,Yes,King4ae334
Stephanie,Robertson,20020805,Yes,Robertsonc09d46
Rickey,Hill,19640430,Yes,Hillbd6ccb
Erika,Stewart,19851226,Yes,Stewart40f40c
Gregory,Allen,19780122,Yes,Allenc7f068
Christina,Johnson,20010622,Yes,Johnson5dcd5e
Kelli,Wells,19540308,Yes,Wells5c2c04
Nathan,Archer,19560723,Yes,Archerc62326
Michael,Kline,19650623,Yes,Kline6fe75a
Joshua,Rodriguez,19530317,Yes,Rodriguez1eec66
James,Rodriguez,19810717,Yes,Rodrigueza7ea38
Robert,Ortega,19600316,Yes,Ortega7f6475
Teresa,Ruiz,19510904,Yes,Ruize89dfb
Madison,Mejia,19530323,Yes,Mejia10b0a0
James,Bailey,19861007,Yes,Baileyb3b3be
Mary,Perry,19730808,Yes,Perrye86258
Crystal,Jones,19620914,Yes,Jones85733a
Aaron,Brown,19860502,Yes,Brown9035e0
Brian,Contreras,19650708,Yes,Contreras91010f
Tanya,Barajas,19740430,Yes,Barajasc09f89
Ashley,Frost,19521020,Yes,Frostddfa15
Samantha,Rasmussen,19940621,Yes,Rasmussen0fcc4a
Erica,Weber,19930809,Yes,Weberb31655
Amanda,Campbell,19810324,Yes,Campbellfe47b1
Vincent,Martin,19840124,Yes,Martin927136
Tony,Crawford,19870818,Yes,Crawforda2a35b
Randy,Sullivan,19611025,Yes,Sullivan7d828c
Kimberly,Thompson,20001211,Yes,Thompson77cc83
William,Hopkins,20010104,Yes,Hopkinscfbfaf
Martin,Compton,19840602,Yes,Compton395a9e
Anthony,Gross,19660423,Yes,Gross9a287c
Tracy,Brown,19720823,Yes,Brown8baf8f
James,Stanley,20011008,Yes,Stanleya95cd9
Norma,Jenkins,19570323,Yes,Jenkinse55376
Leslie,Preston,19720510,Yes,Prestond09229
Crystal,Valdez,20030802,Yes,Valdezddc447
Jay,Parker,19930930,Yes,Parker311d63
Lance,Williams,19730807,Yes,Williams44d674
Carl,Taylor,19750112,Yes,Taylor10cf54
Brenda,Dean,19690215,Yes,Dean33bccb
Kathleen,Allen,19860113,Yes,Allenb02ca6
Patricia,Olsen,19981124,Yes,Olsen98e22b
Marie,Lamb,19790410,Yes,Lamb5dc6d5
Nathan,Flores,19790409,Yes,Floresa43fb7
Ashley,Caldwell,19880903,Yes,Caldwellaa013e
David,Frank,19680928,Yes,Frank97c934
Heather,Boyle,20030301,Yes,Boyleb1a106
Renee,Martin,19810421,Yes,Martincaab29
Keith,Parker,19640826,Yes,Parker0793ea
Ernest,Blake,19990621,Yes,Blakeed1550
Melissa,Levy,19500330,Yes,Levybef91e
Brandon,Powell,19760606,Yes,Powellfe4b65
Lisa,Holloway,19720102,Yes,Holloway485d06
Kimberly,Stone,19940512,Yes,Stone1d9aa4
Adam,Jones,19730316,Yes,Jones575ba2
Richard,Tucker,19710625,Yes,Tucker0eb60d
Elizabeth,Andersen,19740123,Yes,Andersen610666
Destiny,Lutz,19940412,Yes,Lutz3427fd
Brandy,Allen,19810113,Yes,Allen54dd15
Stephanie,Decker,19770905,Yes,Decker0c2cab
Michelle,Keller,19510607,Yes,Keller800656
Stacey,Yates,19921208,Yes,Yates0613f5
Sue,Lee,19860829,Yes,Leef9df7b
Anna,Long,19740316,Yes,Long850abd
Annette,Watson,19580423,Yes,Watson6dc0c1
Robert,Perez,19690528,Yes,Perez6ff111
James,Thomas,19520509,Yes,Thomas6cc50d
Kelli,Olson,19960723,Yes,Olson50aa76
Becky,Reid,19751027,Yes,Reid1bdd4e
Wesley,Shaw,19830121,Yes,Shawafe1c4
Pamela,Boyd,19680628,Yes,Boyd94bd78
Jeremy,Lewis,19530107,Yes,Lewis644d94
Jennifer,Garza,19890603,Yes,Garzabe6d15
Larry,Wilson,19670221,Yes,Wilson0ce7d7
Joshua,Thompson,19840830,Yes,Thompson9e0583
Dennis,Williams,19661107,Yes,Williams874b3e
Karen,Morton,19910410,Yes,Mortone4bde6
Joseph,Perry,19510616,Yes,Perryb530f3
Heather,Herman,19710606,Yes,Herman0ab62b
Laura,Lopez,19901221,Yes,Lopezea3475
Joel,Webb,19891009,Yes,Webb5b6934
Donna,Malone,19521007,Yes,Malone73ad1c
Reginald,Barnes,19730214,Yes,Barnesf462cf
Brett,House,19841126,Yes,House3cb134
Robert,Weaver,19820218,Yes,Weaver201e16
Beth,Martinez,19681225,Yes,Martinez204f4d
Nicole,Small,19570414,Yes,Small09b680
Anthony,Cline,19890125,Yes,Clined04f7b
Spencer,Ware,19801009,Yes,Ware0b5e6e
Willie,Erickson,19910110,Yes,Erickson3df9d8
Daniel,Nguyen,19590903,Yes,Nguyen6a5e70
Tiffany,Brown,20030217,Yes,Brown1d91b6
Leonard,Martinez,19560922,Yes,Martinez7564a0
Thomas,Forbes,19591023,Yes,Forbes60d809
Robert,Stephens,20000619,Yes,Stephens5a6e3d
Kevin,Mayo,19761029,Yes,Mayod6f2e8
Daniel,Chen,19520716,Yes,Chen7d3b15
Samuel,Dalton,19960916,Yes,Dalton32ce48
Heather,Bennett,20020105,Yes,Bennettdcbc8e
Joshua,King,20000106,Yes,King89592d
Randy,Moyer,20030617,Yes,Moyer839f37
Crystal,Blake,19701117,Yes,Blakee7660c
Heather,Combs,19590428,Yes,Combs2d19f0
Amanda,Evans,19590224,Yes,Evans62a52d
Sergio,Day,19510531,Yes,Day69b708
Julie,Boyd,19690906,Yes,Boyd9e514e
Tara,Barnes,19540801,Yes,Barnesbc727b
Logan,Watkins,20000511,Yes,Watkinsc99644
Steven,Ortiz,19670605,Yes,Ortizc84c21
Lisa,Marquez,19710326,Yes,Marquez7aa36b
Sergio,Hughes,19810309,Yes,Hughes0c3d29
Destiny,Rojas,19860121,Yes,Rojas1f285c
Danny,Lewis,19521225,Yes,Lewis07faff
Jennifer,Martin,19830527,Yes,Martin823815
Arthur,Chandler,19610210,Yes,Chandler4ab754
Cheryl,Crosby,19580930,Yes,Crosby9b4b3c
Ronald,Hudson,19511003,Yes,Hudson01af18
Jennifer,Lee,19500104,Yes,Leed79994
Gregory,Yoder,19530620,Yes,Yoder701081
Carolyn,Harmon,19980124,Yes,Harmon695981
Christopher,Harrell,19700630,Yes,Harrell7257b7
Kevin,Johnson,19930802,Yes,Johnsona67f31
Michael,Harrison,19510819,Yes,Harrison087c81
Terry,Moore,19870615,Yes,Moorec62aad
James,Rogers,19930704,Yes,Rogers656af4
Kathleen,Tran,19740211,Yes,Tranb0eca9
Jacqueline,Conway,19710617,Yes,Conwayae4271
Chad,Clark,19610919,Yes,Clark350612
Maxwell,Cole,19510203,Yes,Cole92aa4e
Bethany,Williamson,19540310,Yes,Williamson2b72ad
Joseph,Wright,19570521,Yes,Wrightf1b731
Thomas,Rogers,19970819,Yes,Rogers3818bf
Jenny,Lewis,19970706,Yes,Lewis11948d
Heidi,Bolton,19560616,Yes,Bolton06e0a4
Daniel,Lewis,19770205,Yes,Lewise0082d
Dale,Ramirez,19550323,Yes,Ramirez63293d
Carol,Sharp,19750312,Yes,Sharp7f0b37
Joseph,Buck,19520311,Yes,Buck542b91
Lynn,Anderson,19960113,Yes,Anderson542fb5
Emily,Andrews,19550427,Yes,Andrewsbbb39d
Sarah,Harris,20010530,Yes,Harris526cae
Victor,Owens,19960815,Yes,Owens620f19
Kimberly,Koch,19870125,Yes,Koch439718
Allison,Obrien,19620423,Yes,Obrien00e34d
John,Rogers,19710905,Yes,Rogers160f63
Laura,Bailey,19700811,Yes,Bailey13f67b
Janet,Collins,19840721,Yes,Collins120bd8
Kristin,Lawson,19760111,Yes,Lawsoncbf97e
James,Castaneda,19640126,Yes,Castaneda7660ad
Michael,Middleton,19810804,Yes,Middleton02dfcc
Robert,Ortiz,19761108,Yes,Ortiz66abd6
Connie,Harper,19950627,Yes,Harper709ac1
Debbie,Burns,19830806,Yes,Burnsf2b3af
Gabriel,Preston,19961120,Yes,Prestonb6298b
Steven,Hodges,19510903,Yes,Hodges0c95aa
Brandon,Orozco,19870717,Yes,Orozco02d2bd
Kari,Nguyen,19991119,Yes,Nguyen6f5461
Brittany,Hill,19870605,Yes,Hill2c87a6
Carrie,Martinez,19740124,Yes,Martineza7c339
Jeffery,Hill,19591223,Yes,Hille24f9e
Linda,White,19751015,Yes,Whitee99606
Jake,Spencer,20020509,Yes,Spencerc21d73
Joseph,Chan,19660922,Yes,Chanf9d1ec
Sara,Dominguez,19860220,Yes,Dominguez401336
Kathleen,Ali,19960602,Yes,Alia27465
Danielle,Stephens,19610929,Yes,Stephensbaaae3
Ann,Wolf,19801112,Yes,Wolfdbc295
Brianna,Schaefer,19761203,Yes,Schaeferac7f3e
Angela,Morris,19760702,Yes,Morris9ba0c6
Cristian,Kelley,19510108,Yes,Kelleyf31014
Jeffrey,Turner,19840112,Yes,Turnera2281a
Jesse,Perry,19691013,Yes,Perry1c3c64
Ricardo,Cruz,19780205,Yes,Cruz7bf566
Jessica,Smith,19510531,Yes,Smith69b708
Brenda,Long,19510914,Yes,Longf0fcab
Megan,Taylor,19930510,Yes,Taylor757b69
Kelly,Morales,19800227,Yes,Morales3cabc1
Sheri,Johnson,19880422,Yes,Johnson5c5943
Lori,Pacheco,19620630,Yes,Pacheco7ccf5c
Sandra,Schmidt,19590711,Yes,Schmidtbe25c3
Rachel,Hill,19541202,Yes,Hill2b641d
Emily,Case,19850508,Yes,Case1fe51a
Seth,Alvarez,19800108,Yes,Alvarezaf3210
Jose,Reyes,19700929,Yes,Reyes0a636d
Zachary,Le,19851028,Yes,Le44e841
Rhonda,Anthony,19740915,Yes,Anthony91ec3d
Joseph,Hill,20020923,Yes,Hill0d4d98
Erin,Davis,19600917,Yes,Davisdbcb2f
Lucas,Brown,19891101,Yes,Brown1ebf83
William,Garcia,19850912,Yes,Garcia72e9b2
Lauren,Swanson,19610921,Yes,Swansonb3ea59
John,Frank,19500519,Yes,Frank4dfb90
Tony,Perry,19730910,Yes,Perryd9da10
Nicole,Schmidt,19651109,Yes,Schmidt54bf24
Nathan,Gray,19960618,Yes,Gray15cd60
Nichole,Delgado,19720305,Yes,Delgadof68ba9
Raven,Ford,19960213,Yes,Ford367013
Marcus,Rodriguez,19690511,Yes,Rodriguez3a35bc
Daniel,Grimes,19821126,Yes,Grimes2efc51
Samuel,Solomon,19871230,Yes,Solomon23bae2
Katrina,Miller,19540308,Yes,Miller5c2c04
Raymond,Conner,19970128,Yes,Conner719707
Cory,Garcia,19550202,Yes,Garcia14ae78
Lori,Fuller,19680101,Yes,Fuller9068b7
Corey,Wilson,19531011,Yes,Wilsonda57e4
Denise,Dominguez,19660628,Yes,Dominguezdb12a6
Holly,James,19641104,Yes,Jamese7a3a7
Alicia,Mccarty,19820916,Yes,Mccartya4b9de
Zoe,Christian,19990319,Yes,Christian90eb36
Nicholas,Watson,19620403,Yes,Watson61db68
Shirley,Ruiz,19720812,Yes,Ruiz956d35
Victoria,Wood,19910622,Yes,Wood67f271
Jillian,Knight,19881108,Yes,Knight10192a
Ryan,Fisher,19871030,Yes,Fisher277033
Stephanie,Howe,19630905,Yes,Howea7c946
Kenneth,Kim,19990505,Yes,Kimc0e4a8
Andrew,Macias,19661013,Yes,Maciasa41162
Lisa,Jackson,19730114,Yes,Jackson89ce69
Elizabeth,Huffman,19580918,Yes,Huffmanfb25a2
